iShares Core S&P Mid-Cap ETF
Fund Holdings as of,"Feb 23, 2024"
Inception Date,"May 22, 2000"
Shares Outstanding,"1,394,600,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Type,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BWXT","BWX TECHNOLOGIES INC","EQUITY","Industrials","Equity","250,755,504.35","0.31","250,755,504.35","2,791,445.00","89.83","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PVH","PVH CORP","EQUITY","Consumer Discretionary","Equity","250,703,899.55","0.31","250,703,899.55","1,844,089.00","135.95","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ARMK","ARAMARK","EQUITY","Consumer Discretionary","Equity","249,766,296.45","0.31","249,766,296.45","7,967,027.00","31.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CIEN","CIENA CORP","EQUITY","Information Technology","Equity","249,650,509.24","0.31","249,650,509.24","4,512,028.00","55.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"WBS","WEBSTER FINANCIAL CORP","EQUITY","Financials","Equity","247,816,661.60","0.31","247,816,661.60","5,250,353.00","47.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"FNF","FIDELITY NATIONAL FINANCIAL INC","EQUITY","Financials","Equity","246,689,822.98","0.31","246,689,822.98","4,927,883.00","50.06","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GPK","GRAPHIC PACKAGING HOLDING","EQUITY","Materials","Equity","246,588,355.20","0.31","246,588,355.20","9,340,468.00","26.40","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"DCI","DONALDSON INC","EQUITY","Industrials","Equity","245,891,967.48","0.31","245,891,967.48","3,683,223.00","66.76","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"SKX","SKECHERS USA INC CLASS A","EQUITY","Consumer Discretionary","Equity","245,449,908.20","0.31","245,449,908.20","4,077,241.00","60.20","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"KBR","KBR INC","EQUITY","Industrials","Equity","245,274,672.58","0.31","245,274,672.58","4,120,186.00","59.53","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
